event_id,app,title,description,city,country,latitude,longitude,organizer_user_id,start_time,end_time,created_at
e_14,openyard,Boston Physics Lecture Series,Monthly lecture series featuring renowned physicists discussing modern theories.,Boston,United States,42.3601,-71.0589,u_14,2026-03-25T18:00:00,2026-03-25T20:00:00,2025-11-30T16:20:00
e_15,openyard,Toronto Law Career Fair,Career fair connecting law students with top firms and organizations.,Toronto,Canada,43.6532,-79.3832,u_15,2026-05-20T10:00:00,2026-05-20T16:00:00,2025-12-08T09:30:00
e_16,unidate,Boston Psychology Summit,Summit exploring cognitive and behavioral psychology with interactive sessions.,Boston,United States,42.3601,-71.0589,u_16,2026-04-10T09:00:00,2026-04-11T17:00:00,2025-11-12T13:55:00
e_17,openyard,Harvard Robotics Expo,Exhibition of student-built robots and mechanical engineering projects.,Chicago,United States,41.8781,-87.6298,u_17,2026-08-01T11:00:00,2026-08-01T17:00:00,2025-12-20T15:40:00
e_18,openyard,Princeton Math Olympiad,Competitive mathematics event for university students with challenging problems.,Boston,United States,42.3601,-71.0589,u_18,2026-06-15T09:00:00,2026-06-15T15:00:00,2025-11-28T10:10:00
e_19,unidate,Harvard Mental Health Gala,Charity gala raising awareness and funds for mental health support on campus.,Houston,United States,29.7604,-95.3698,u_19,2026-03-05T19:00:00,2026-03-05T23:00:00,2025-10-30T12:25:00
e_20,openyard,Princeton Law Moot Court,Annual moot court competition for aspiring lawyers.,Sydney,Australia,-33.8688,151.2093,u_20,2026-09-10T10:00:00,2026-09-12T18:00:00,2025-12-18T14:50:00
e_21,openyard,Cambridge Economics Forum,Forum discussing global economic trends and policy impacts.,Boston,United States,42.3601,-71.0589,u_21,2026-07-20T09:30:00,2026-07-20T16:30:00,2025-11-15T08:45:00
e_22,openyard,Zurich Coding Bootcamp,Intensive weekend bootcamp on algorithms and AI for computer science students.,London,United Kingdom,51.5074,-0.1278,u_22,2026-08-25T10:00:00,2026-08-27T18:00:00,2025-12-22T11:35:00
e_23,openyard,São Paulo Business Pitch,Startup pitch competition for business administration students.,São Paulo,Brazil,-23.5505,-46.6333,u_23,2026-10-05T14:00:00,2026-10-05T19:00:00,2025-11-08T17:20:00
e_24,openyard,Toronto AI Conference,Conference on machine learning and artificial intelligence advancements.,New York,United States,40.7128,-74.006,u_24,2026-11-15T09:00:00,2026-11-17T17:00:00,2025-12-25T13:15:00
e_25,openyard,Cambridge Legal Workshop,Workshop on public and private law for law students.,Mumbai,India,19.076,72.8777,u_25,2026-12-10T10:30:00,2026-12-10T16:30:00,2025-11-05T09:00:00
e_26,unidate,Paris Law Networking Night,Professional networking evening for law students and alumni.,Paris,France,48.8566,2.3522,u_26,2026-02-15T19:30:00,2026-02-15T22:30:00,2025-10-12T15:45:00
e_27,unidate,Berkeley Math Seminar,Seminar series on advanced mathematics topics including topology and probability.,Los Angeles,United States,34.0522,-118.2437,u_27,2026-05-25T13:00:00,2026-05-25T17:00:00,2025-11-20T10:30:00
e_28,openyard,Toronto Strategy Summit,Business strategy summit with case studies and guest speakers.,Toronto,Canada,43.6532,-79.3832,u_28,2026-09-20T09:00:00,2026-09-21T17:00:00,2025-12-10T12:55:00
e_29,openyard,MIT Cybersecurity Hackathon,48-hour hackathon focused on computer security and ethical hacking.,Chicago,United States,41.8781,-87.6298,u_29,2026-10-25T12:00:00,2026-10-27T12:00:00,2025-12-28T16:20:00
e_30,unidate,Princeton Biology Retreat,Weekend retreat with workshops on evolutionary and cell biology.,Boston,United States,42.3601,-71.0589,u_30,2026-08-10T15:00:00,2026-08-12T12:00:00,2025-11-01T14:10:00
e_31,unidate,Tokyo International Business Fair,Global business fair connecting students with multinational companies.,Tokyo,Japan,35.6762,139.6503,u_31,2026-04-15T10:00:00,2026-04-16T18:00:00,2025-10-18T11:35:00
e_32,unidate,Cambridge Contract Law Debate,Debate event focused on contract and tort law cases.,Boston,United States,42.3601,-71.0589,u_32,2026-07-05T14:00:00,2026-07-05T18:00:00,2025-11-25T09:50:00
e_33,openyard,Miami Administrative Law Forum,Forum discussing administrative and constitutional law developments.,Miami,United States,25.7617,-80.1918,u_33,2026-11-01T09:30:00,2026-11-01T15:30:00,2025-12-05T13:20:00
e_34,openyard,Stanford Analysis Conference,Conference on mathematical analysis and differential equations.,Miami,United States,25.7617,-80.1918,u_34,2026-12-15T08:00:00,2026-12-17T16:00:00,2025-11-10T17:45:00
e_35,openyard,Tokyo Immunology Symposium,Symposium on immunology and bioinformatics research.,Tokyo,Japan,35.6762,139.6503,u_35,2026-09-25T09:00:00,2026-09-26T17:00:00,2025-12-01T10:15:00
e_36,openyard,Toronto Medical Career Day,Career day for medicine students with hospital and clinic representatives.,Boston,United States,42.3601,-71.0589,u_36,2026-10-10T10:00:00,2026-10-10T16:00:00,2025-11-15T12:40:00
e_37,unidate,London Astrophysics Night,Evening event with talks on nuclear physics and astrophysics.,London,United Kingdom,51.5074,-0.1278,u_37,2026-06-20T19:00:00,2026-06-20T22:00:00,2025-10-28T15:55:00
e_38,unidate,Paris Software Engineering Meetup,Meetup for computer science students interested in software engineering and cryptography.,Paris,France,48.8566,2.3522,u_38,2026-11-20T18:30:00,2026-11-20T21:30:00,2025-12-12T14:30:00
e_39,openyard,Stanford Behavioral Economics Talk,Guest lecture on behavioral economics and econometrics.,Miami,United States,25.7617,-80.1918,u_39,2026-12-05T16:00:00,2026-12-05T18:00:00,2025-11-18T09:25:00
e_40,openyard,Harvard Mechatronics Expo,Exhibition of mechatronics and aerodynamics student projects.,Toronto,Canada,43.6532,-79.3832,u_40,2026-11-10T11:00:00,2026-11-10T17:00:00,2025-12-20T16:10:00
e_41,unidate,Oxford Developmental Psychology Workshop,Workshop on developmental and abnormal psychology.,Chicago,United States,41.8781,-87.6298,u_41,2026-10-15T13:00:00,2026-10-16T17:00:00,2025-11-22T11:45:00
e_42,unidate,Stanford Combinatorics Seminar,"Seminar on combinatorics, graph theory, and mathematical logic.",Houston,United States,29.7604,-95.3698,u_42,2026-09-05T14:30:00,2026-09-05T17:30:00,2025-12-08T13:20:00
e_43,openyard,Berlin Neurobiology Conference,Conference exploring neurobiology and zoology research.,Berlin,Germany,52.52,13.405,u_43,2026-12-20T09:00:00,2026-12-22T16:00:00,2025-11-30T15:50:00
e_44,openyard,Mumbai Innovation Summit,Summit on innovation management and supply chain in business.,Mumbai,India,19.076,72.8777,u_44,2026-11-25T10:00:00,2026-11-26T18:00:00,2025-12-15T10:35:00
e_45,openyard,Berlin EU Law Conference,"Conference on European Union law, competition, and tax law.",Berlin,Germany,52.52,13.405,u_45,2026-10-30T09:30:00,2026-11-01T16:30:00,2025-11-05T12:00:00
e_46,unidate,Cambridge Maritime Law Debate,Debate on maritime and aviation law topics.,Sydney,Australia,-33.8688,151.2093,u_46,2026-12-15T18:00:00,2026-12-15T21:00:00,2025-11-20T17:15:00
e_47,openyard,Seattle Applied Math Workshop,Workshop on applied and pure mathematics for students.,Seattle,United States,47.6062,-122.3321,u_47,2026-11-05T10:00:00,2026-11-06T17:00:00,2025-12-01T14:40:00
e_48,unidate,Oxford Global Business Forum,"Forum on leadership, ethics, and global business strategies.",Mumbai,India,19.076,72.8777,u_48,2026-12-10T09:00:00,2026-12-11T17:00:00,2025-11-25T16:25:00
e_49,openyard,Tokyo Digital Marketing Summit,Summit focused on digital marketing and data analytics in business.,Tokyo,Japan,35.6762,139.6503,u_49,2026-12-20T10:30:00,2026-12-21T18:00:00,2025-12-05T11:50:00
e_50,unidate,Zurich Human Rights Conference,Conference on criminal justice and international human rights law.,Chicago,United States,41.8781,-87.6298,u_50,2026-11-30T09:00:00,2026-12-02T17:00:00,2025-10-10T13:30:00
