job_id,title,description,city,country,employment_type,experience_level,company_name,creator_user_id,created_at
j_40,Mechatronics Engineer,Develop advanced drones and autonomous vehicles.,Toronto,Canada,full_time,mid,AeroMech Innovations,u_40,2025-12-15T16:45:00
j_41,Child Psychologist,Work with adolescents on developmental and resilience programs.,Chicago,United States,full_time,mid,YouthMind Clinic,u_41,2025-11-18T12:10:00
j_42,Data Scientist - Graph Theory,Apply combinatorics and network analysis to big data problems.,Houston,United States,full_time,mid,Network Analytics Inc.,u_42,2025-12-05T15:35:00
j_43,Neurobiologist,Lead research on synaptic plasticity and brain mapping.,Berlin,Germany,full_time,senior,Max Planck Neuroscience,u_43,2025-11-10T11:50:00
j_44,Innovation Manager,Drive product innovation and supply chain optimization for consumer goods.,Mumbai,India,full_time,senior,IndiaInnovate,u_44,2025-12-01T09:20:00
j_45,EU Competition Lawyer,Handle antitrust cases and regulatory compliance across Europe.,Berlin,Germany,full_time,mid,EU Law Partners,u_45,2025-10-25T13:05:00
j_46,Maritime Law Specialist,Advise on international shipping and aviation legal matters.,Sydney,Australia,full_time,senior,Global Maritime Legal,u_46,2025-11-15T18:40:00
j_47,Applied Mathematics Researcher,Model fluid dynamics for aerospace applications.,Seattle,United States,full_time,mid,Boeing Research,u_47,2025-12-08T14:55:00
j_48,Ethics & Compliance Officer,Ensure global business practices meet highest ethical standards.,Mumbai,India,full_time,senior,Oxford Global Ethics,u_48,2025-11-20T17:25:00
j_49,Digital Marketing Director,Lead AI-driven campaigns and analytics for e-commerce brand.,Tokyo,Japan,full_time,senior,Tokyo Digital Hub,u_49,2025-12-12T10:15:00
j_50,Human Rights Advocate,Represent cases at international courts and lead advocacy campaigns.,Chicago,United States,full_time,senior,Human Rights Watch,u_50,2025-10-15T13:40:00
