post_id,creator_user_id,content,visibility,created_at,updated_at,
p_16,u_16,Cognitive biases are everywhere. Just caught myself falling for confirmation bias while researching. Classic. ??,private,2025-11-15T17:20:00,2025-11-15T17:20:00,
p_17,u_17,My robot finally navigated the maze autonomously! 6 months of work paid off today. Video attached. ??,public,2025-12-22T14:55:00,2025-12-22T14:55:00,
p_18,u_18,Solved a beautiful number theory problem today. Proof elegance level: 10/10. Math is art. ??,public,2025-11-30T11:40:00,2025-11-30T11:40:00,
p_19,u_19,Mental health check-in: Remember to take breaks during exam season. You're doing great. You've got this! ??,friends,2025-10-05T20:10:00,2025-10-05T20:10:00,
p_20,u_20,Environmental law case study group forming – DM me if you're interested! We meet weekly. ??,public,2025-12-20T10:25:00,2025-12-20T10:25:00,
p_21,u_21,"Game theory applied to real-world negotiations is fascinating. Just finished reading ""Thinking Strategically"" – highly recommend!",public,2025-11-18T16:35:00,2025-11-18T16:35:00,
p_22,u_22,Built my first neural network from scratch today. Accuracy: 92%. Beginner win! ??,public,2025-12-25T13:50:00,2025-12-25T13:50:00,
p_23,u_23,Pitching my startup idea tomorrow. Any last-minute advice for the São Paulo Business Pitch competition? Nervous but excited!,public,2025-11-10T18:00:00,2025-11-10T18:00:00,
p_24,u_24,Machine learning ethics debate tonight at the Toronto AI Conference prep session. Should be intense.,public,2025-12-28T09:15:00,2025-12-28T09:15:00,
p_25,u_25,Public vs private law – which side are you on? Debating this forever. ??,friends,2025-11-08T12:45:00,2025-11-08T12:45:00,
p_26,u_26,Paris nights are magical. Missing the city already. Who else studied law abroad?,Feeling nostalgic tonight.,friends,2025-10-15T21:30:00,2025-10-15T21:30:00
p_27,u_27,Topology is the coolest branch of mathematics. Change my mind. ??,public,2025-11-22T14:20:00,2025-11-22T14:20:00,
p_28,u_28,Organizational behavior case study: How company culture affects performance. Thoughts? #MBA,public,2025-12-12T11:05:00,2025-12-12T11:05:00,
p_29,u_29,Cybersecurity tip: Always use 2FA. Just prevented an attempt on my account. Stay safe out there! ??,public,2025-12-30T10:40:00,2025-12-30T10:40:00,
p_30,u_30,Just published my research on cell signaling pathways. Open access link in bio! ??,public,2025-11-03T13:55:00,2025-11-03T13:55:00,
p_31,u_31,International business negotiation strategies – learned so much this semester. Ready for the Tokyo fair!,public,2025-10-20T08:30:00,2025-10-20T08:30:00,
p_32,u_32,Contract law exam tomorrow. Wish me luck! ??,private,2025-11-28T23:15:00,2025-11-28T23:15:00,
p_33,u_33,Administrative law is underrated. The power of bureaucracy shapes our daily lives more than we think.,public,2025-12-07T15:40:00,2025-12-07T15:40:00,
p_34,u_34,Differential equations final project submitted! Modeled population dynamics – turned out beautiful.,public,2025-11-12T17:20:00,2025-11-12T17:20:00,
p_35,u_35,Immunology conference was incredible. New vaccine approaches are promising! ??,public,2025-12-03T12:10:00,2025-12-03T12:10:00,
p_36,u_36,First day of clinical rotations starts next week. Nervous but so excited to finally work with patients! ??,friends,2025-11-18T19:55:00,2025-11-18T19:55:00,
p_37,u_37,Astrophysics night event was mind-expanding. Black holes never get old. ??,public,2025-10-30T22:45:00,2025-10-30T22:45:00,
p_38,u_38,Just deployed my first full-stack app with encryption. Software engineering is addictive!,public,2025-12-15T16:30:00,2025-12-15T16:30:00,
p_39,u_39,Behavioral economics explains so much about holiday shopping. We're all predictable in the best way. ??,public,2025-11-20T10:15:00,2025-11-20T10:15:00,
p_40,u_40,Mechatronics lab today: Our drone finally achieved stable hover. Team high-five moment! ??,public,2025-12-22T14:00:00,2025-12-22T14:00:00,
p_41,u_41,Developmental psychology research proposal approved! Studying resilience in adolescents.,public,2025-11-25T12:35:00,2025-11-25T12:35:00,
p_42,u_42,Graph theory proving useful in network analysis project. Math really is everywhere.,public,2025-12-10T15:50:00,2025-12-10T15:50:00,
p_43,u_43,Neurobiology lab results came back – synaptic plasticity confirmed! Science is beautiful. ??,public,2025-12-02T11:20:00,2025-12-02T11:20:00,
p_44,u_44,Innovation management class: Discussing disruptive tech. Any examples from India? #Startup,public,2025-12-18T09:45:00,2025-12-18T09:45:00,
p_45,u_45,EU competition law case study group – anyone want to join? Weekly meetings in Berlin.,public,2025-11-07T14:10:00,2025-11-07T14:10:00,
p_46,u_46,Maritime law is niche but fascinating. Just finished a paper on shipping disputes. ?,friends,2025-11-22T20:25:00,2025-11-22T20:25:00,
p_47,u_47,Applied math modeling real-world problems is the best part of this degree. Currently working on fluid dynamics.,public,2025-12-03T13:30:00,2025-12-03T13:30:00,
p_48,u_48,Global business ethics debate tonight. Leadership means doing the right thing even when it's hard.,public,2025-11-28T17:55:00,2025-11-28T17:55:00,
p_49,u_49,Digital marketing trends 2026: AI personalization is going to dominate. Who's ready? ??,public,2025-12-07T10:40:00,2025-12-07T10:40:00,
p_50,u_50,Human rights law never stops challenging me. Just finished reading about recent ICC cases. Powerful stuff.,public,2025-10-12T16:15:00,2025-10-12T16:15:00,
